lambda;EW;relDepth;ConvBS,
nm;0.1pm; ;m/s,
--------;----;-----;-------,
4051819;    ;0.6;-548.7
4053050;79;0.69;-44.4
4053440;60;0.62;-625.3
4055322;50;0.52;-472.2
4056181;80;0.74;-597.1
4057491;    ;0.43;-401.4
4058490;46;0.72;-127.7
4059363;101;0.75;-672.1
4059900;74;0.74;-168.6
4060860;70;0.68;-322.5
4062243;    ;0.61;-777.2
4063102;    ;0.58;-613.6
4063588;98;0.81;-51.1
4064423;68;0.76;243.3
4064742;787;0.81;-618.2
4065597;64;0.71;-580.7
4066529;64;0.72;-364.7
4067734;80;0.76;-536.5
4068123;130;0.78;-125.7
4068420;96;0.79;-234.9
4068636;18;0.25;-553.9
4069127;133;0.83;-50.7
4070217;48;0.52;-633.8
4071920;94;0.77;-37.5
4072670;50;0.74;33.3
4072888;723;0.86;-1237.9
4073652;63;0.72;-394.5
4074913;90;0.81;-396.4
4075936;110;0.82;-312.9
4077369;58;0.63;-381
4077641;62;0.75;-148.4
4077780;127;0.83;189.9
4077951;94;0.76;-172.4
4079506;124;0.78;21.8
4080990;94;0.78;-307.3
4081361;89;0.75;-242.8
4082029;61;0.64;-524.6
4083260;76;0.68;-360.1
4083577;82;0.66;180.4
4084916;71;0.73;-817.6
4085645;156;0.82;-56.7
4086157;107;0.78;-268.2
4087138;55;0.55;-784
4088248;81;0.71;-353.2
4089711;56;0.61;-506.7
4090371;62;0.67;-416.5
4091227;70;0.61;-432.9
4092108;57;0.62;-476.7
4092708;60;0.65;-443.5
4093432;    ;0.62;-385.9
4093661;36;0.52;-645.1
4097127;99;0.77;-193.4
4097264;67;0.64;-419.3
4097366;39;0.54;-532.9
4099332;113;0.78;-204.6
4101504;26;0.42;-1076.2
4101895;82;0.81;9.3
4102419;47;0.72;-183.7
4104771;28;0.38;-790.6
4105272;100;0.78;492.4
4105618;29;0.34;-793.4
4106099;54;0.49;-312.4
4107418;64;0.69;-480.3
4107582;74;0.69;-274
4108647;125;0.82;-165.3
4109292;39;0.44;-689.8
4110216;75;0.71;-297.9
4113479;69;0.64;-440.5
4115606;100;0.79;-236.6
4116099;65;0.68;-388.3
4119015;76;0.62;-479.6
4119707;154;0.87;-30.9
4121369;97;0.78;-213.8
4122966;94;0.8;-364.2
4123679;86;0.77;-289.1
4124892;109;0.76;832.2
4125651;    ;0.35;-566.3
4127044;75;0.69;-411
4127347;113;0.79;-226.2
4128019;36;0.41;-518.3
4128949;97;0.76;718.2
4130626;57;0.54;-607.8
4131202;64;0.64;-605.4
4133224;404;0.9;-179
4133698;77;0.7;-436
4134065;123;0.85;-13.7
4135844;129;0.85;-140.6
4137688;73;0.7;-343.9
4138164;104;0.83;-220.3
4141095;86;0.78;-187.8
4141570;68;0.65;-302.9
4143031;68;0.67;-357.3
4143757;70;0.63;-759.7
4144583;134;0.86;160.7
4145037;466;0.89;319.7
4146369;38;0.45;-526.6
4147233;72;0.7;-543
4148511;52;0.56;-483.5
4148839;110;0.86;-70.7
4150535;111;0.8;-266.2
4150931;67;0.6;-441.2
4151419;75;0.74;-393.2
4153116;62;0.67;-2.4
4153340;107;0.82;-513.3
4155071;138;0.83;-70.5
4155270;69;0.72;-475
4155670;126;0.86;-51.1
4155977;120;0.85;-87.8
4157626;51;0.58;-735.3
4157971;126;0.85;-152.1
4158953;127;0.82;-148.8
4159965;103;0.81;-295.6
4161725;30;0.36;-381.7
4162250;52;0.6;-180.6
4165956;24;0.29;-839.5
4169034;50;0.62;-397.1
4169130;    ;0.66;-293.5
4169790;51;0.58;-428.9
4170117;55;0.65;-356.1
4170932;52;0.57;-314.5
4172078;97;0.8;-152
4172867;73;0.68;-377.4
4173075;90;0.76;-78.8
4173298;99;0.8;-468.9
4173921;110;0.83;-414.9
4174138;49;0.51;-353.2
4174491;76;0.74;-377.4
4175097;85;0.8;-117.1
4175579;33;0.34;-783.6
4176090;103;0.84;-228
4176813;110;0.86;-145.3
4177076;45;0.4;-307.9
4177743;124;0.83;-84
4178263;27;0.37;-1276.3
4181588;46;0.48;-1312.1
4182365;13;0.18;-530.3
4182728;62;0.6;-357.8
4182933;148;0.87;-99.2
4183562;88;0.8;-364.7
4183937;63;0.64;-389.3
4184185;36;0.44;-630.1
4186071;97;0.84;-123.5
4188219;204;0.89;189.7
4188767;76;0.74;0.2
4189507;    ;0.11;-1839.4
4189912;120;0.77;-314
4190737;70;0.64;-264.1
4192612;181;0.88;75.9
4192857;98;0.78;-317.1
4195675;17;0.24;-989.4
4196511;127;0.85;58.9
4196800;86;0.75;-417.5
4197391;98;0.81;-297.8
4197714;67;0.66;-120.8
4197854;    ;0.5;-650.9
4198280;66;0.63;-706.8
4199817;128;0.81;-404.4
4200278;183;0.88;13.8
4200545;22;0.23;-906
4201167;79;0.73;-621.4
4201962;51;0.58;-1232.9
4202108;96;0.79;-338.6
4203213;326;0.91;167.4
4203937;58;0.64;-481.7
4204752;53;0.68;-157.6
4206723;89;0.74;-425.2
4207882;122;0.84;-473
4208312;84;0.78;-320.2
4209790;98;0.79;-304.5
4214834;90;0.8;-320.9
4217155;91;0.62;-390.4
4217371;130;0.87;-95.1
4218733;128;0.83;-64.3
4221238;48;0.46;-605.5
4221531;87;0.77;-359.5
4223402;180;0.87;-8.9
4224919;34;0.36;-557.1
4225362;135;0.83;-136.7
4226644;120;0.83;-173.7
4226903;52;0.6;-459.9
4227146;74;0.78;-274
4227614;71;0.8;163.1
4228617;185;0.88;5.7
4229909;24;0.34;-624.1
4230701;81;0.7;-232.3
4230943;115;0.75;403.3
4233918;58;0.69;-370.2
4234795;298;0.9;119
4237130;385;0.91;-54.4
4238267;40;0.64;-127.5
4238864;25;0.33;-445.1
4239217;111;0.81;-274.7
4239802;18;0.19;12.2
4240555;66;0.63;-502.5
4240926;78;0.78;-423.1
4241042;132;0.81;-287.1
4241565;101;0.71;-51
4242308;50;0.54;-319.4
4243791;87;0.66;-109.9
4243924;61;0.69;-517.6
4244563;151;0.71;-645.9
4244736;    ;0.49;-623.2
4245011;63;0.56;-486.1
4246453;118;0.81;12.8
4247280;95;0.73;-627.3
4248621;162;0.86;-135.4
4249420;97;0.77;-184.7
4249599;65;0.55;14.3
4255128;63;0.54;-1744.4
4256698;51;0.62;-367.4
4257404;54;0.51;-1399.1
4257508;23;0.29;-365.2
4258005;33;0.4;-705.4
4259515;82;0.82;-260.7
4259810;82;0.67;-309.2
4260151;50;0.61;-427.2
4261198;86;0.75;-81.6
4261334;84;0.78;-908.5
4261674;595;0.92;-34.6
4261928;50;0.7;-825
4266469;76;0.65;-985.8
4268165;81;0.78;-446.8
4269950;69;0.72;-372.7
4272963;756;0.93;68.3
4277880;57;0.63;-562
4279435;73;0.67;-825.8
4280693;63;0.66;-742.1
4281074;60;0.64;-697.8
4281744;57;0.51;-1556.3
4283608;146;0.9;-1.1
4285611;27;0.39;-563.4
4286648;120;0.8;-300.7
4287028;59;0.59;-1191.3
4288070;54;0.66;381.4
4289353;64;0.73;-367.7
4290163;74;0.69;-369.8
4291122;65;0.68;-489.9
4291586;62;0.73;-553.8
4292671;84;0.85;-194.4
4293325;95;0.71;-1173.9
4293492;50;0.65;-358.7
4295006;    ;0.43;-420.7
4295333;217;0.91;-328.7
4299246;111;0.8;-817.8
4300444;212;0.91;2.7
4300676;71;0.57;-1.6
4300838;82;0.71;-102.4
4303396;48;0.77;450
4306662;124;0.82;-494.4
4309114;723;0.93;-42.5
4310243;131;0.78;157.5
4310587;126;0.83;36.5
4316298;153;0.9;-119.6
4318262;11;0.19;-621.8
4321698;24;0.34;64.9
4326979;793;0.94;69.3
4327156;56;0.77;-513.3
4327970;56;0.71;-392.8
4329120;69;0.66;-33.5
4332169;42;0.49;-592
4338266;120;0.89;-74.5
4343034;    ;0.35;-473.5
4344918;71;0.7;-419.3
4347775;68;0.7;-340.8
4348455;41;0.54;-403.7
4349055;65;0.62;-334.7
4350159;58;0.61;-304.3
4352767;72;0.74;-267.7
4353958;142;0.88;-87.7
4359724;95;0.76;-24.9
4362029;51;0.49;-1207.9
4367123;48;0.6;-432
4368806;143;0.82;186.8
4369131;90;0.8;-313.4
4374211;34;0.39;-342.6
4374790;65;0.7;-332.2
4377160;152;0.9;109.8
4378004;52;0.61;-394.6
4379022;39;0.43;-743.1
4384000;79;0.75;-753.3
4384777;1008;0.95;263.5
4386482;52;0.62;-906.3
4389124;73;0.77;-307.5
4389640;103;0.82;-246
4390478;67;0.8;-307
4391682;53;0.53;225.4
4392184;92;0.78;62.2
4393814;37;0.43;-396.3
4394258;27;0.28;-1278.8
4396732;66;0.52;-698.6
4402526;101;0.76;-374.4
4402679;48;0.7;-82
4405988;898;0.95;-4.7
4406256;28;0.74;-757
4409652;130;0.85;91
4410358;51;0.51;-411.3
4424384;59;0.51;-873.4
4425083;53;0.6;-455.8
4426899;40;0.35;-566.8
4426995;20;0.28;-601.6
4429810;35;0.36;-1271.4
4430431;15;0.16;-187.9
4431433;68;0.67;-333.9
4431858;115;0.85;-155.7
4433812;47;0.59;-421.9
4434463;97;0.8;-99.3
4435027;73;0.72;-427.1
4436394;83;0.83;-377.2
4439589;45;0.57;-520.9
4440881;22;0.26;-469.7
4441127;47;0.6;-371.1
4441726;46;0.47;-826.7
4442070;47;0.48;-647.4
4442792;20;0.2;-594.4
4444079;57;0.7;-481.4
4444442;95;0.85;-236.7
4446720;30;0.53;-450.3
4448379;60;0.71;-442.8
4451565;53;0.62;-454.3
4452016;25;0.29;-852.8
4453859;26;0.32;-449.9
4455631;84;0.83;-210.4
4456278;90;0.74;-969.2
4457577;48;0.61;-405.1
4459331;61;0.67;-411.7
4462449;48;0.61;-524.5
4462905;116;0.89;-28.3
4463448;31;0.34;-501.2
4464385;19;0.27;-640.8
4468192;48;0.59;-798.3
4472932;19;0.3;-616
4473967;63;0.63;249.1
4479275;15;0.26;-515.6
4480860;61;0.67;-86.2
4481220;42;0.55;-505
4481394;54;0.68;-357
4481529;24;0.36;-882
4482867;46;0.6;-497.4
4483997;67;0.69;-668.3
4485035;11;0.2;-503
4485478;77;0.81;-249.8
4486934;65;0.73;-340.8
4487231;18;0.25;-790.6
4488995;15;0.2;-540.3
4489393;46;0.57;-604.4
4490166;    ;0.54;-544.7
4490999;    ;0.85;-192.7
4491344;67;0.76;-516.5
4493939;29;0.43;-456.4
4494631;5;0.1;-179.6
4495316;32;0.43;-818.6
4495824;139;0.89;-1.3
4496829;24;0.34;-483
4497214;41;0.55;-538.6
4499795;8;0.05;1461.4
4501892;    ;0.16;-352.6
4503854;21;0.34;-501
4508478;6;0.13;-586.3
4512086;8;0.13;-268.4
4515450;48;0.63;-437
4516433;14;0.24;-620.4
4519844;14;0.24;-437.2
4524667;36;0.49;-521.8
4527132;17;0.24;-366.9
4527830;38;0.6;-872.2
4529052;21;0.35;-533.9
4532419;106;0.87;-144.7
4532901;55;0.62;-782.8
4537759;10;0.14;-395.6
4538946;13;0.2;-678.4
4542587;17;0.23;-713.7
4543215;8;0.13;-664.2
4549122;73;0.77;-284.3
4552923;23;0.33;-414.9
4555728;26;0.38;-399.6
4557403;100;0.8;-167.8
4558202;21;0.31;-494.9
4559383;19;0.3;-511.4
4561366;42;0.53;-505.8
4562693;    ;0.38;-681.2
4565978;30;0.41;-702.1
4566101;24;0.35;-495.8
4566590;26;0.36;-135.7
4567795;36;0.5;-441.1
4569883;14;0.18;-509.4
4570336;3;0.02;-233.1
4572719;18;0.24;-622.7
4575498;33;0.45;-450.8
4576000;52;0.64;-403.5
4577063;15;0.19;-314.1
4580350;12;0.12;-1102.2
4580609;22;0.32;-459.5
4581861;40;0.47;-117.8
4582476;    ;0.25;-344.1
4586001;32;0.46;-261.6
4586104;49;0.58;-634.4
4587517;    ;0.44;-842.3
4588413;46;0.59;-419.1
4589006;14;0.19;-537
4593938;95;0.84;-239.8
4594812;22;0.32;-505.8
4596496;10;0.14;-327.9
4596646;61;0.65;-406.1
4597348;61;0.64;-613.3
4597703;29;0.36;-902
4599034;    ;0.41;-316.1
4599160;    ;0.49;-811.6
4599405;76;0.72;-334.4
4599655;16;0.18;-629.2
4600029;12;0.18;-436.7
4601131;    ;0.59;-758
4602223;26;0.37;-311.6
4603290;60;0.73;-349.9
4604230;97;0.85;-127.7
4604632;14;0.21;-555.8
4605239;15;0.22;-649.7
4605848;    ;0.46;-703.9
4608938;75;0.75;-324.3
4614495;66;0.7;-277.3
4615498;27;0.33;-738.6
4620582;70;0.74;-299
4626341;76;0.76;-271.5
4628843;12;0.18;-1002.4
4631417;61;0.72;-315.4
4635054;21;0.21;-291
4636915;10;0.17;-958.3
4637144;44;0.6;-437.4
4637969;4;0.06;-419.9
4638802;77;0.75;-296.1
4639309;82;0.74;-328.5
4644764;63;0.7;-351.1
4651118;16;0.24;-648.6
4654793;8;0.13;-581.5
4658889;24;0.37;-486.3
4659599;14;0.2;-467
4662625;3;0.05;-675.5
4662839;28;0.41;-510.4
4663275;35;0.51;-337.4
4664484;18;0.29;-346.2
4668760;75;0.78;-203.6
4670478;60;0.69;-483.6
4672722;    ;0.3;-384.8
4674139;31;0.36;-311
4674472;72;0.69;-320.6
4674578;39;0.48;-964.4
4675956;18;0.24;-678.5
4678899;12;0.18;-591.5
4680534;47;0.51;-732.6
4681605;43;0.54;-461.5
4683422;    ;0.47;-472.8
4683871;22;0.27;-617.1
4684870;46;0.57;-411.4
4686336;16;0.2;-260.6
4688983;6;0.08;-598.3
4691451;51;0.59;-460.6
4691682;13;0.18;-394.4
4701473;52;0.59;-571.8
4702360;38;0.46;-376.6
4706265;58;0.64;-450.5
4706774;36;0.39;-288
4707616;6;0.1;-496.6
4708592;107;0.8;-167.2
4708805;65;0.64;-485.6
4715389;36;0.35;-627.7
4715510;22;0.23;-490
4718159;5;0.08;-674.3
4722321;47;0.48;-837.2
4727257;7;0.1;-165.1
4729869;73;0.71;-360
4730342;35;0.43;-511.1
4731000;45;0.39;-564.7
4734916;76;0.77;-298.1
4735422;30;0.35;-484.4
4737168;59;0.61;-455.7
4738960;38;0.38;-763.8
4741666;37;0.41;-616.1
4742396;33;0.38;-674.6
4742856;69;0.7;-377.6
4744265;10;0.12;-891
4746456;12;0.16;-322.3
4747128;69;0.68;-383.7
4751276;33;0.36;-557.2
4758909;54;0.59;-419.4
4768120;    ;0.31;-638.5
4773031;61;0.48;-106.8
4774138;88;0.74;426.5
4777403;29;0.29;-452
4780776;51;0.45;-500.5
4787295;30;0.3;-555.3
4788145;95;0.74;-324.9
4790096;72;0.65;-334.4
4790990;96;0.74;-303.5
4792082;10;0.1;-592.8
4792586;40;0.41;-639.3
4795302;9;0.09;-306.5
4799606;47;0.46;-526.8
4800073;35;0.37;-458.3
4800748;36;0.39;-435.2
4801471;19;0.19;-580.5
4801991;72;0.58;-398.6
4804222;73;0.61;-367.1
4805862;26;0.25;-657
4809053;60;0.52;-466.2
4809492;30;0.32;-530.6
4810024;    ;0.43;-661.1
4810482;17;0.16;-474.7
4811283;20;0.22;-552.6
4812373;16;0.15;452.2
4814458;24;0.25;-502.4
4816581;14;0.15;-757.8
4825514;94;0.65;-2262.2
4834078;68;0.59;-1272.2
4835858;28;0.37;-381.8
4837219;44;0.5;-445.8
4839436;9;0.13;-236.6
4839864;51;0.56;-375.9
4840897;55;0.63;-355.2
4843138;24;0.29;-531.9
4844497;67;0.64;-229.4
4845367;39;0.47;-387.2
4847002;36;0.45;-429.2
4850238;33;0.44;-493.7
4851024;16;0.16;-653.7
4857030;60;0.64;-360.2
4859601;8;0.25;-25.9
4860479;18;0.42;-383
4861099;108;0.85;-43.1
4863955;16;0.42;-744.7
4865002;48;0.65;-242.8
4870824;20;0.29;-488.6
4872679;228;0.88;10.6
4873289;45;0.53;-213.5
4873499;195;0.87;-17.9
4874268;10;0.14;-398.5
4875113;12;0.17;-513.6
4875715;18;0.27;-463.4
4876392;    ;0.35;-617.1
4877239;55;0.59;-405.8
4877550;8;0.07;-853.5
4883081;61;0.62;-400
4883507;70;0.66;-317.1
4886795;60;0.66;-355.8
4887697;68;0.67;-381.8
4888559;62;0.61;-564.3
4888731;18;0.19;-683.1
4892121;220;0.88;-1.4
4892858;312;0.89;23.9
4894225;44;0.52;-473.3
4897806;26;0.36;-505.4
4906502;30;0.33;-508.7
4909102;61;0.59;-398.1
4909401;37;0.35;-656.4
4909969;4;0.08;-95.4
4910754;66;0.6;-391.4
4911388;91;0.7;-304.8
4911697;79;0.66;-313.6
4911936;80;0.65;-354.7
4912901;24;0.26;-500.7
4913151;44;0.45;-545.8
4913870;10;0.11;-870.2
4918603;60;0.59;-425.7
4919386;53;0.53;-490.5
4920367;278;0.88;-78.7
4926144;101;0.75;-206.2
4926658;20;0.24;-793.9
4931692;82;0.6;-719.1
4934568;39;0.4;-216.7
4934718;97;0.68;-864.3
4935250;41;0.47;-305.6
4940193;119;0.81;-152.2
4940618;88;0.69;-485
4941065;96;0.8;-207.1
4947018;42;0.43;-510.5
4947769;113;0.75;-223.1
4951488;76;0.65;-364.5
4963299;26;0.28;-292.8
4963957;52;0.53;-399.3
4967475;114;0.79;-157.4
4967675;16;0.15;-1184.7
4969284;74;0.67;-304.4
4970084;46;0.51;-545.6
4971304;69;0.65;-377.4
4971883;51;0.55;-430.9
4972033;31;0.34;-576.8
4974490;88;0.69;-432.3
4980975;19;0.22;-506.8
4983890;138;0.79;-182.7
4984641;114;0.75;-235.1
4985244;123;0.77;-197.1
4986644;101;0.74;-259.9
4986938;103;0.77;-224.3
4987375;25;0.25;-671.6
4987614;45;0.47;-451.6
4988295;18;0.18;-506.5
4990342;80;0.69;-341.2
4992661;87;0.69;-308.7
4993260;16;0.17;-662.8
4994178;8;0.1;-556.5
4995523;95;0.81;-153.1
4996803;13;0.16;-561.8
5000507;29;0.33;-544
5003259;168;0.8;-149
5004188;85;0.66;-313.8
5005440;50;0.47;-469
5007109;136;0.79;-177.7
5007516;190;0.84;-70.9
5012610;2;0.03;-371.5
5014093;40;0.37;-417
5016341;125;0.77;-175.6
5017878;33;0.35;-696.1
5021131;24;0.21;-518.1
5022217;17;0.21;-535.3
5023636;114;0.74;-248.3
5024588;35;0.38;-532.9
5024899;26;0.3;-541.5
5026486;20;0.22;-785.1
5026704;    ;0.19;-482.8
5028525;105;0.72;-144.2
5028744;32;0.32;-846.3
5029159;61;0.53;-441.7
